series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTC15M,1-2,200.0,0.05,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-29.0,-186.0,-0.165587,7,1.0006,12,16
KXBTC15M,1-2,300.0,0.05,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-29.0,-186.0,-0.165587,7,1.0006,12,16
KXBTC15M,1-2,100.0,0.08,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-29.05,-187.0,-0.166246,7,0.9839,12,16
KXBTC15M,1-2,200.0,0.08,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-29.05,-187.0,-0.166246,7,0.9839,12,16
KXBTC15M,1-2,300.0,0.08,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-29.05,-187.0,-0.166246,7,0.9839,12,16
KXBTC15M,1-2,100.0,0.05,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-28.0476,-195.0,-0.170585,7,0.9655,13,16
KXBTC15M,1-2,200.0,0.05,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-28.0476,-195.0,-0.170585,7,0.9655,13,16
KXBTC15M,1-2,300.0,0.05,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-28.0476,-195.0,-0.170585,7,0.9655,13,16
KXBTC15M,1-2,100.0,0.08,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-28.0952,-196.0,-0.171222,7,0.9494,13,16
KXBTC15M,1-2,200.0,0.08,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-28.0952,-196.0,-0.171222,7,0.9494,13,16
KXBTC15M,1-2,300.0,0.08,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-28.0952,-196.0,-0.171222,7,0.9494,13,16
KXBTC15M,1-2,100.0,0.02,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-30.1,-208.0,-0.183923,7,1.0075,11,17
KXBTC15M,1-2,200.0,0.02,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-30.1,-208.0,-0.183923,7,1.0075,11,17
KXBTC15M,1-2,300.0,0.02,30-70,4,0,best_edge,stop,10.0,,,28,28.57,49.25,-30.1,-208.0,-0.183923,7,1.0075,11,17
KXBTC15M,4-6,100.0,0.08,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.5,-360.0,-0.184889,15,2.4368,32,29
KXBTC15M,4-6,200.0,0.08,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.5,-360.0,-0.184889,15,2.4368,32,29
KXBTC15M,4-6,300.0,0.08,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.5,-360.0,-0.184889,15,2.4368,32,29
KXBTC15M,1-2,100.0,0.02,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-29.0952,-217.0,-0.188556,7,0.9722,12,17
KXBTC15M,1-2,200.0,0.02,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-29.0952,-217.0,-0.188556,7,0.9722,12,17
KXBTC15M,1-2,300.0,0.02,30-70,8,0,best_edge,stop,10.0,,,29,27.59,49.25,-29.0952,-217.0,-0.188556,7,0.9722,12,17
KXBTC15M,4-6,100.0,0.02,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6667,-368.0,-0.188927,15,2.4902,31,30
KXBTC15M,4-6,200.0,0.02,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6667,-368.0,-0.188927,15,2.4902,31,30
KXBTC15M,4-6,300.0,0.02,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6667,-368.0,-0.188927,15,2.4902,31,30
KXBTC15M,4-6,100.0,0.08,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6875,-369.0,-0.188951,15,2.454,32,29
KXBTC15M,4-6,200.0,0.08,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6875,-369.0,-0.188951,15,2.454,32,29
KXBTC15M,4-6,300.0,0.08,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6875,-369.0,-0.188951,15,2.454,32,29
KXBTC15M,4-6,100.0,0.05,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6875,-369.0,-0.189278,15,2.4896,31,30
KXBTC15M,4-6,200.0,0.05,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6875,-369.0,-0.189278,15,2.4896,31,30
KXBTC15M,4-6,300.0,0.05,30-70,8,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.6875,-369.0,-0.189278,15,2.4896,31,30
KXBTC15M,4-6,100.0,0.02,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.8542,-377.0,-0.192979,15,2.5074,31,30
KXBTC15M,4-6,200.0,0.02,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.8542,-377.0,-0.192979,15,2.5074,31,30
KXBTC15M,4-6,300.0,0.02,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.8542,-377.0,-0.192979,15,2.5074,31,30
KXBTC15M,4-6,100.0,0.05,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.875,-378.0,-0.193326,15,2.5069,31,30
KXBTC15M,4-6,200.0,0.05,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.875,-378.0,-0.193326,15,2.5069,31,30
KXBTC15M,4-6,300.0,0.05,30-70,4,0,best_edge,stop,10.0,,,61,21.31,48.0,-20.875,-378.0,-0.193326,15,2.5069,31,30
KXBTC15M,2-4,100.0,0.08,40-60,4,0,best_edge,hold,,,,37,43.24,46.3125,-52.9048,-370.0,-0.201981,4,3.6461,22,15
KXBTC15M,2-4,200.0,0.08,40-60,4,0,best_edge,hold,,,,37,43.24,46.3125,-52.9048,-370.0,-0.201981,4,3.6461,22,15
KXBTC15M,2-4,300.0,0.08,40-60,4,0,best_edge,hold,,,,37,43.24,46.3125,-52.9048,-370.0,-0.201981,4,3.6461,22,15
KXBTC15M,2-4,100.0,0.02,40-60,4,0,best_edge,hold,,,,37,43.24,46.1875,-52.9048,-372.0,-0.203316,4,3.6465,22,15
KXBTC15M,2-4,100.0,0.05,40-60,4,0,best_edge,hold,,,,37,43.24,46.1875,-52.9048,-372.0,-0.203316,4,3.6465,22,15
KXBTC15M,2-4,200.0,0.02,40-60,4,0,best_edge,hold,,,,37,43.24,46.1875,-52.9048,-372.0,-0.203316,4,3.6465,22,15
KXBTC15M,2-4,200.0,0.05,40-60,4,0,best_edge,hold,,,,37,43.24,46.1875,-52.9048,-372.0,-0.203316,4,3.6465,22,15
